,Player,GA,PKA,FK,CK,OG,PSxG+/-,/90,Cmp%,Thr,Launch%_Passes,AvgLen_GK,Opp,Stp%,#OPA/90,AvgDist,Min,GA90,SoTA,Saves,Save%,Squad,Weekly Wages (USD),Annual Wages (USD),League,Age
152,Manuel Riemann,72.0,8.0,2.0,9.0,3.0,0.0,0.0,47.1,83,66.8,50.6,536.0,5.8,3.56,22.2,3060,2.12,200.0,128.0,68.0,Bochum,25865,1344957,Bundesliga,33.0
153,Rémy Riou,8.0,4.0,0.0,0.0,1.0,1.8,0.27,24.5,30,22.5,26.0,78.0,7.7,1.5,17.2,601,1.2,24.0,17.0,83.3,Lyon,8832,459253,Ligue 1,34.0
154,Joel Robles,11.0,2.0,0.0,0.0,0.0,-0.5,-0.12,25.4,20,52.2,49.4,43.0,4.7,0.75,11.6,360,2.75,27.0,16.0,66.7,Leeds United,25420,1321847,Premier League,32.0
155,Marek Rodák,2.0,0.0,0.0,0.0,0.0,0.0,0.01,34.0,3,73.9,60.0,26.0,3.8,1.0,14.0,180,1.0,4.0,2.0,50.0,Fulham,19065,991386,Premier League,25.0
156,Leonardo Román,0.0,0.0,0.0,0.0,0.0,0.1,0.11,42.9,3,40.0,48.8,30.0,3.3,2.0,17.4,90,0.0,4.0,4.0,100.0,Mallorca,5678,295234,La Liga,22.0
157,Gerónimo Rulli,10.0,0.0,0.0,1.0,0.0,2.5,0.18,42.0,70,19.3,37.9,215.0,9.3,1.5,15.5,1260,0.71,56.0,46.0,82.1,Villarreal,113972,5926556,La Liga,30.0
158,Alessandro Russo,3.0,0.0,0.0,0.0,0.0,-0.2,-0.22,0.0,2,28.6,18.3,14.0,0.0,0.0,10.0,90,3.0,7.0,4.0,57.1,Sassuolo,2313,120281,Serie A,21.0
159,Frederik Rønnow,27.0,5.0,0.0,5.0,0.0,8.2,0.28,39.7,109,44.6,49.4,434.0,9.9,1.0,13.5,2610,0.93,119.0,92.0,81.5,Union Berlin,14720,765422,Bundesliga,29.0
160,José Sá,55.0,2.0,0.0,6.0,1.0,-5.6,-0.16,27.6,182,29.3,46.2,540.0,8.0,0.78,12.6,3240,1.53,161.0,105.0,67.1,Wolves,31775,1652309,Premier League,29.0
161,Brice Samba,28.0,3.0,0.0,6.0,1.0,5.4,0.15,40.0,140,35.5,32.7,384.0,8.9,1.11,15.4,3330,0.76,125.0,98.0,80.0,Lens,25234,1312153,Ligue 1,28.0
162,Robert Sánchez,30.0,5.0,0.0,4.0,3.0,-2.8,-0.12,29.3,103,24.2,35.1,229.0,7.4,0.57,12.3,2070,1.3,74.0,46.0,66.2,Brighton,31775,1652309,Premier League,24.0
163,Mouhamadou Sarr,3.0,0.0,0.0,1.0,0.0,-0.1,-0.05,50.0,12,40.8,53.6,18.0,0.0,0.5,8.6,180,1.5,8.0,5.0,62.5,Cremonese,7780,404580,Serie A,25.0
164,Kasper Schmeichel,35.0,3.0,2.0,5.0,0.0,0.9,0.02,43.8,119,30.7,35.7,455.0,5.3,0.64,12.9,3240,0.97,141.0,105.0,77.3,Nice,83271,4330104,Ligue 1,35.0
165,Marvin Schwäbe,54.0,4.0,4.0,4.0,3.0,-8.7,-0.26,38.1,117,28.8,33.9,468.0,4.1,0.65,13.4,3060,1.59,129.0,77.0,61.2,Köln,7780,404580,Bundesliga,27.0
166,Alexander Schwolow,58.0,4.0,1.0,6.0,0.0,-12.2,-0.54,40.8,79,46.4,55.2,321.0,2.2,1.02,15.0,2035,2.57,138.0,80.0,60.9,Schalke 04,18505,962245,Bundesliga,30.0
167,Matz Sels,59.0,10.0,1.0,6.0,0.0,-2.5,-0.06,34.9,130,44.8,43.9,504.0,6.2,0.84,12.8,3420,1.55,174.0,115.0,71.8,Strasbourg,22710,1180937,Ligue 1,30.0
168,Luigi Sepe,27.0,4.0,0.0,0.0,0.0,3.3,0.2,27.7,84,40.6,41.1,222.0,7.2,0.76,14.2,1530,1.59,87.0,57.0,73.6,Salernitana,35117,1826079,Serie A,31.0
169,Rui Silva,32.0,2.0,1.0,6.0,1.0,1.9,0.07,37.6,107,40.7,47.5,369.0,4.9,1.42,16.6,2340,1.23,104.0,73.0,71.2,Betis,18925,984115,La Liga,28.0
170,Marco Silvestri,48.0,6.0,2.0,3.0,2.0,2.7,0.07,37.9,142,31.9,34.1,547.0,2.4,0.55,12.2,3420,1.26,137.0,91.0,69.3,Udinese,38902,2022902,Serie A,31.0
171,Unai Simón,37.0,3.0,1.0,1.0,3.0,-2.3,-0.08,38.2,154,30.6,49.4,355.0,5.1,1.31,17.5,2745,1.21,104.0,70.0,67.3,Athletic Club,90000,4680011,La Liga,25.0
172,Tobias Sippel,12.0,1.0,0.0,3.0,0.0,-0.4,-0.08,23.6,23,33.5,53.1,88.0,2.3,0.71,13.1,510,2.12,33.0,21.0,66.7,M'Gladbach,9252,481123,Bundesliga,34.0
173,Salvatore Sirigu,0.0,0.0,0.0,0.0,0.0,1.0,0.96,37.5,9,40.0,41.8,12.0,0.0,2.0,26.3,90,0.0,5.0,5.0,100.0,Fiorentina,27337,1421499,Serie A,35.0
174,Łukasz Skorupski,49.0,7.0,1.0,6.0,3.0,1.8,0.05,39.4,206,29.8,33.0,492.0,5.9,0.65,12.9,3330,1.32,161.0,113.0,73.9,Bologna,35117,1826079,Serie A,31.0
175,François-Joseph Sollacaro,14.0,1.0,0.0,1.0,1.0,-3.9,-0.65,21.8,11,56.9,48.2,93.0,6.5,1.0,11.5,540,2.33,24.0,11.0,45.8,Ajaccio,2103,109346,Ligue 1,28.0
176,Yann Sommer,25.0,7.0,1.0,1.0,0.0,-1.3,-0.07,40.7,83,14.6,28.7,212.0,5.7,1.42,16.7,1710,1.32,55.0,30.0,67.3,M'Gladbach,84112,4373842,Bundesliga,33.0
177,David Soria,45.0,4.0,0.0,7.0,2.0,2.5,0.07,45.2,99,75.1,59.8,586.0,6.1,1.21,15.0,3420,1.18,166.0,119.0,75.3,Getafe,31752,1651126,La Liga,29.0
178,Marco Sportiello,21.0,1.0,1.0,2.0,0.0,-1.4,-0.1,35.1,85,20.5,49.7,200.0,9.0,1.21,15.0,1339,1.41,64.0,43.0,68.8,Atalanta,23341,1213741,Serie A,30.0
179,Jason Steele,23.0,1.0,0.0,2.0,3.0,-1.5,-0.1,45.9,48,14.9,13.9,126.0,7.9,1.27,15.7,1350,1.53,57.0,36.0,61.4,Brighton,19065,991386,Premier League,31.0
180,Mile Svilar,3.0,0.0,0.0,0.0,0.0,-0.1,-0.03,36.4,13,50.8,60.1,42.0,14.3,1.33,12.1,270,1.0,10.0,7.0,70.0,Roma,26916,1399630,Serie A,22.0
181,Wojciech Szczęsny,26.0,3.0,0.0,5.0,0.0,0.0,0.0,47.4,128,32.2,38.3,389.0,2.8,0.76,14.7,2472,0.95,93.0,67.0,75.3,Juventus,253178,13165266,Serie A,32.0
182,Ciprian Tătărușanu,22.0,2.0,2.0,4.0,1.0,-4.2,-0.26,48.2,75,32.1,41.8,195.0,4.6,0.81,14.4,1440,1.37,61.0,40.0,67.2,Milan,32383,1683929,Serie A,36.0
183,Marc-André ter Stegen,18.0,3.0,0.0,2.0,3.0,8.7,0.23,50.1,185,22.1,35.2,368.0,4.9,1.1,16.4,3347,0.48,98.0,83.0,84.7,Barcelona,189253,9841145,La Liga,30.0
184,Pietro Terracciano,38.0,6.0,0.0,3.0,2.0,-2.9,-0.1,41.3,113,32.7,40.5,271.0,4.4,1.9,18.4,2610,1.31,96.0,59.0,66.7,Fiorentina,31122,1618322,Serie A,32.0
185,Kevin Trapp,51.0,2.0,1.0,7.0,1.0,-7.7,-0.23,24.5,128,39.2,34.1,401.0,4.2,0.73,14.4,2970,1.55,130.0,80.0,62.3,Eint Frankfurt,73598,3827112,Bundesliga,32.0
186,Mark Travers,32.0,2.0,0.0,8.0,2.0,-6.0,-0.52,46.1,54,35.6,43.8,229.0,2.2,0.43,10.5,1035,2.78,66.0,36.0,54.5,Bournemouth,25420,1321847,Premier League,23.0
187,Martin Turk,9.0,1.0,0.0,3.0,0.0,-1.0,-0.25,44.9,15,41.4,56.3,60.0,0.0,0.5,12.3,360,2.25,30.0,21.0,73.3,Sampdoria,778,40458,Serie A,18.0
188,Sven Ulreich,2.0,0.0,0.0,1.0,0.0,0.4,0.13,34.6,21,20.5,23.4,34.0,5.9,1.33,17.5,270,0.67,8.0,5.0,75.0,Bayern Munich,42056,2186921,Bundesliga,33.0
189,Guglielmo Vicario,39.0,4.0,0.0,8.0,1.0,2.9,0.09,30.3,151,33.5,42.9,606.0,5.6,0.71,11.5,2783,1.26,134.0,95.0,73.9,Empoli,23341,1213741,Serie A,25.0
190,Iván Villar,24.0,3.0,0.0,6.0,0.0,-1.8,-0.09,33.9,96,34.7,44.8,256.0,3.1,0.74,14.2,1710,1.26,62.0,38.0,66.1,Celta Vigo,20818,1082526,La Liga,25.0
191,Danny Ward,46.0,2.0,2.0,6.0,4.0,-5.5,-0.21,31.0,154,29.7,35.1,355.0,5.6,1.62,15.9,2340,1.77,119.0,75.0,63.0,Leicester City,50840,2643695,Premier League,29.0
192,Axel Werner,4.0,0.0,0.0,2.0,0.0,-1.6,-0.82,20.0,9,32.1,33.8,26.0,3.8,0.5,14.0,180,2.0,8.0,4.0,50.0,Elche,4416,229627,La Liga,26.0
193,Robin Zentner,39.0,3.0,1.0,2.0,0.0,-3.6,-0.14,33.8,146,50.0,54.1,321.0,13.4,2.04,17.4,2340,1.5,109.0,69.0,67.0,Mainz 05,10935,568600,Bundesliga,27.0
194,Michael Zetterer,3.0,0.0,0.0,1.0,0.0,0.2,0.11,48.5,13,51.0,50.3,15.0,20.0,2.37,16.5,152,1.78,14.0,11.0,78.6,Werder Bremen,3154,164019,Bundesliga,27.0
195,Jeroen Zoet,4.0,1.0,0.0,1.0,0.0,-1.2,-0.31,32.1,13,54.5,58.4,62.0,6.5,1.61,14.7,334,1.08,13.0,9.0,76.9,Spezia,26916,1399630,Serie A,31.0
196,Petar Zovko,2.0,0.0,0.0,0.0,0.0,-0.3,-0.42,33.3,3,47.8,51.1,24.0,4.2,2.47,17.0,74,2.43,3.0,1.0,33.3,Spezia,5888,306169,Serie A,20.0
