,Player,GA,PKA,FK,CK,OG,PSxG+/-,/90,Cmp%,Thr,Launch%_Passes,AvgLen_GK,Opp,Stp%,#OPA/90,AvgDist,Min,GA90,SoTA,Saves,Save%,Squad,Weekly Wages (USD),Annual Wages (USD),League,Age
70,Wayne Hennessey,5.0,0.0,0.0,1.0,0.0,-1.1,-0.36,39.7,13,54.2,54.5,35.0,2.9,0.66,17.0,271,1.66,14.0,9.0,64.3,Nott'ham Forest,19065,991386,Premier League,35.0
71,Sergio Herrera,23.0,1.0,1.0,3.0,1.0,-0.6,-0.04,43.0,58,56.0,48.3,215.0,7.4,1.18,18.5,1530,1.35,71.0,48.0,69.0,Osasuna,19977,1038788,La Liga,29.0
72,Lukáš Hrádecký,47.0,7.0,1.0,5.0,2.0,-3.7,-0.11,31.4,148,31.3,38.7,404.0,6.7,0.79,14.1,2969,1.42,142.0,97.0,71.8,Leverkusen,54673,2842998,Bundesliga,32.0
73,Daniel Iversen,22.0,2.0,2.0,2.0,1.0,-2.1,-0.18,19.6,49,47.1,46.2,203.0,7.9,0.5,10.3,1080,1.83,59.0,38.0,66.1,Leicester City,25420,1321847,Premier League,25.0
74,Léo Jardim,13.0,2.0,0.0,2.0,0.0,-4.4,-0.73,17.6,27,21.7,26.7,65.0,7.7,1.5,16.0,540,2.17,17.0,4.0,35.3,Lille,10514,546730,Ligue 1,27.0
75,Sam Johnstone,10.0,2.0,0.0,4.0,1.0,1.0,0.11,30.3,41,31.8,42.8,104.0,1.9,1.22,15.4,810,1.11,34.0,25.0,76.5,Crystal Palace,50840,2643695,Premier League,29.0
76,Filip Jørgensen,3.0,0.0,0.0,0.0,0.0,-0.7,-0.34,0.0,9,9.1,17.5,18.0,11.1,2.0,13.3,180,1.5,6.0,3.0,50.0,Villarreal,12617,656076,La Liga,20.0
77,Bingourou Kamara,11.0,1.0,0.0,2.0,0.0,-1.9,-0.41,31.6,19,42.1,39.9,52.0,5.8,0.44,11.2,408,2.43,25.0,13.0,60.0,Montpellier,7570,393646,Ligue 1,25.0
78,Caoimhín Kelleher,4.0,0.0,0.0,0.0,0.0,-1.1,-1.06,100.0,7,9.1,20.5,3.0,0.0,0.0,9.0,90,4.0,10.0,6.0,60.0,Liverpool,12710,660924,Premier League,23.0
79,Gregor Kobel,32.0,1.0,0.0,5.0,1.0,2.8,0.1,39.7,122,20.9,36.5,295.0,5.1,1.37,17.1,2430,1.19,119.0,88.0,73.9,Dortmund,42897,2230660,Bundesliga,24.0
80,Tomáš Koubek,22.0,0.0,1.0,0.0,2.0,2.0,0.19,34.2,48,37.9,52.5,176.0,5.7,2.0,16.8,990,2.0,65.0,45.0,66.2,Augsburg,21028,1093461,Bundesliga,29.0
81,Alban Lafont,54.0,9.0,1.0,6.0,4.0,4.8,0.13,36.6,202,37.2,49.3,493.0,8.5,1.05,12.3,3329,1.46,179.0,129.0,74.9,Nantes,21449,1115330,Ligue 1,23.0
82,Jean-Louis Leca,1.0,0.0,0.0,0.0,0.0,0.6,0.6,64.3,5,44.8,20.4,20.0,5.0,0.0,8.2,90,1.0,4.0,3.0,75.0,Lens,7150,371777,Ligue 1,36.0
83,Benjamin Lecomte,14.0,0.0,0.0,2.0,1.0,-2.6,-0.26,45.0,25,57.3,47.0,146.0,2.7,1.1,15.3,899,1.4,40.0,27.0,65.0,Espanyol,64977,3378793,La Liga,31.0
84,Benjamin Lecomte,14.0,0.0,0.0,2.0,1.0,-2.6,-0.26,45.0,25,57.3,47.0,146.0,2.7,1.1,15.3,899,1.4,40.0,27.0,65.0,Montpellier,38271,1990098,Ligue 1,31.0
85,Jeremías Ledesma,48.0,8.0,1.0,6.0,0.0,-0.9,-0.03,32.1,135,58.5,64.1,595.0,7.1,0.76,10.8,3060,1.41,179.0,130.0,77.7,Cádiz,26916,1399630,La Liga,29.0
86,Bernd Leno,51.0,7.0,1.0,8.0,2.0,9.0,0.25,31.7,190,26.0,36.0,464.0,7.5,1.28,15.0,3240,1.42,192.0,142.0,77.1,Fulham,114391,5948314,Premier League,30.0
87,Donovan Léon,2.0,1.0,0.0,0.0,0.0,-0.1,-0.03,33.3,8,63.6,66.1,41.0,0.0,1.0,12.9,180,1.0,11.0,9.0,90.9,Auxerre,10935,568600,Ligue 1,29.0
88,Benjamin Leroy,60.0,8.0,1.0,10.0,1.0,-11.3,-0.36,40.8,77,52.4,52.1,389.0,4.6,1.74,16.9,2798,1.93,133.0,74.0,60.9,Ajaccio,6098,317104,Ligue 1,33.0
89,Mateusz Lis,16.0,2.0,0.0,2.0,0.0,0.4,0.05,30.7,41,38.7,37.4,154.0,7.8,1.56,14.4,751,1.92,51.0,34.0,72.5,Troyes,6308,328038,Ligue 1,25.0
90,Hugo Lloris,39.0,1.0,0.0,3.0,1.0,-4.1,-0.17,35.3,109,31.7,25.8,322.0,6.2,1.18,13.8,2205,1.59,117.0,79.0,67.5,Tottenham,127101,6609237,Premier League,35.0
91,Anthony Lopes,39.0,7.0,2.0,5.0,2.0,4.4,0.14,36.0,134,31.3,31.8,358.0,5.3,0.8,13.9,2816,1.25,131.0,94.0,75.6,Lyon,100935,5248611,Ligue 1,31.0
92,Diego López,4.0,0.0,0.0,2.0,0.0,-2.3,-2.19,25.0,5,28.6,35.3,12.0,0.0,1.88,17.0,96,3.75,5.0,1.0,20.0,Rayo Vallecano,10514,546730,La Liga,40.0
93,Pau López,34.0,5.0,0.0,6.0,1.0,0.8,0.02,34.6,132,25.1,40.4,370.0,5.9,1.14,15.4,2925,1.05,123.0,90.0,76.4,Marseille,80958,4209823,Ligue 1,27.0
94,Andriy Lunin,7.0,0.0,0.0,1.0,1.0,-1.5,-0.21,51.9,36,7.9,35.6,54.0,1.9,1.57,21.7,630,1.0,18.0,12.0,61.1,Real Madrid,59089,3072624,La Liga,23.0
95,Andrey Lunyov,2.0,0.0,0.0,0.0,0.0,-0.6,-0.61,40.0,7,24.4,15.3,6.0,16.7,1.0,13.0,90,2.0,4.0,2.0,50.0,Leverkusen,26075,1355891,Bundesliga,30.0
96,Mike Maignan,21.0,2.0,1.0,2.0,0.0,-0.7,-0.03,39.4,119,22.8,35.1,221.0,6.8,1.46,17.8,1978,0.96,62.0,40.0,69.4,Milan,75491,3925524,Serie A,27.0
97,Giorgi Mamardashvili,45.0,2.0,0.0,7.0,2.0,-0.1,0.0,33.9,142,40.8,54.2,457.0,7.7,1.24,16.3,3420,1.18,148.0,105.0,70.9,Valencia,31542,1640191,La Liga,21.0
98,Steve Mandanda,31.0,2.0,0.0,5.0,1.0,2.4,0.07,38.8,166,30.6,41.5,382.0,9.2,1.52,16.7,3014,0.93,110.0,79.0,73.6,Rennes,137734,7162167,Ligue 1,37.0
99,Vito Mannone,24.0,1.0,2.0,2.0,0.0,1.2,0.07,31.8,101,25.9,37.5,344.0,3.5,0.5,10.6,1608,1.34,84.0,60.0,72.6,Lorient,5047,262431,Ligue 1,34.0
